#{"t_start": 1760181361.6154354, "env_id": "None"}
r,l,t
104.0,5,2.634821
101.0,1,2.637047
104.0,4,2.642768
103.0,5,2.648879
104.0,7,2.662633
103.0,4,2.669585
101.0,1,2.67252
105.0,5,2.682725
102.0,3,2.688965
106.0,7,2.6985
102.0,2,2.701406
102.0,2,2.704142
101.0,1,2.70539
105.0,7,2.714141
106.0,8,2.72774
105.0,8,2.743013
101.0,1,2.74435
102.0,2,2.747122
101.0,1,2.748457
101.0,1,2.749803
106.0,9,2.761741
104.0,5,2.767395
103.0,3,2.770726
104.0,6,2.780065
105.0,6,2.79114
104.0,5,2.797901
104.0,4,2.80257
101.0,1,2.80384
101.0,1,2.805126
102.0,2,2.807743
106.0,8,2.818163
103.0,4,2.82428
103.0,5,2.830436
101.0,2,2.832952
101.0,1,2.834284
102.0,4,2.839243
101.0,1,2.840516
101.0,1,2.842447
101.0,2,2.844839
106.0,8,2.854044
102.0,3,2.858384
102.0,2,2.860687
102.0,2,2.862875
103.0,5,2.868661
103.0,5,2.875686
101.0,2,2.878119
102.0,2,2.880543
101.0,1,2.881754
104.0,5,2.887748
101.0,2,2.890289
102.0,3,2.893694
107.0,9,2.904588
101.0,2,2.906919
102.0,2,2.909275
101.0,1,2.910492
104.0,7,2.918531
105.0,6,2.925575
101.0,1,2.926806
101.0,2,2.929039
103.0,3,2.932599
103.0,6,2.939893
103.0,3,2.943259
104.0,4,2.948016
104.0,4,2.953506
105.0,8,2.962713
105.0,6,2.970403
101.0,1,2.971659
104.0,4,2.976396
103.0,3,2.980051
104.0,5,2.986254
103.0,3,2.989659
102.0,4,2.994174
103.0,4,3.001746
101.0,2,3.005199
104.0,5,3.01454
101.0,1,3.015917
101.0,1,3.01818
101.0,1,3.021004
102.0,2,3.02603
105.0,10,3.041379
101.0,1,3.043653
101.0,1,3.045458
104.0,5,3.056041
101.0,2,3.058453
102.0,2,3.061227
102.0,2,3.063591
102.0,2,3.065864
102.0,2,3.068274
101.0,1,3.069566
102.0,3,3.07372
104.0,4,3.081008
101.0,1,3.082776
102.0,3,3.087809
103.0,4,3.093407
105.0,5,3.099182
104.0,6,3.106714
101.0,1,3.107928
101.0,1,3.109078
101.0,1,3.110222
101.0,1,3.111473
103.0,3,3.114823
105.0,5,3.121497
104.0,6,3.132652
104.0,6,3.14671
103.0,3,3.150761
103.0,4,3.156314
106.0,9,3.167137
105.0,5,3.173843
107.0,7,3.182152
101.0,1,3.183644
101.0,1,3.184874
101.0,3,3.188687
102.0,2,3.19113
105.0,5,3.197201
106.0,6,3.204462
102.0,3,3.208011
101.0,1,3.209166
102.0,2,3.211345
101.0,1,3.21249
102.0,2,3.215381
106.0,6,3.222355
101.0,1,3.223565
102.0,4,3.228204
105.0,7,3.236451
101.0,1,3.237622
102.0,2,3.240352
101.0,1,3.24166
101.0,1,3.242893
102.0,3,3.246824
104.0,6,3.253629
102.0,4,3.258362
102.0,2,3.26078
101.0,2,3.264104
105.0,5,3.269868
102.0,2,3.272524
101.0,1,3.273822
101.0,1,3.275031
101.0,2,3.277616
102.0,2,3.280106
104.0,6,3.287111
101.0,2,3.289455
102.0,4,3.295348
104.0,7,3.30717
102.0,2,3.310147
101.0,1,3.311394
102.0,2,3.313757
103.0,6,3.321003
101.0,1,3.322318
103.0,5,3.3287
103.0,5,3.334468
101.0,1,3.335761
102.0,3,3.339411
102.0,2,3.343479
101.0,1,3.345399
101.0,1,3.347239
101.0,1,3.349262
104.0,4,3.356121
101.0,2,3.359975
101.0,1,3.361906
101.0,1,3.363648
102.0,2,3.367105
101.0,2,3.370752
103.0,8,3.380968
102.0,2,3.383429
105.0,8,3.393946
103.0,4,3.398382
104.0,7,3.410343
102.0,3,3.415574
103.0,5,3.424484
101.0,1,3.426365
104.0,5,3.434603
104.0,4,3.439391
102.0,3,3.44318
101.0,1,3.444453
103.0,4,3.449954
103.0,5,3.455806
105.0,6,3.463033
102.0,2,3.465925
101.0,3,3.469347
104.0,6,3.476346
103.0,5,3.482463
101.0,2,3.484745
101.0,1,3.485894
101.0,1,3.487098
104.0,5,3.492769
103.0,3,3.496686
101.0,1,3.497955
105.0,7,3.505795
102.0,4,3.51058
101.0,2,3.513794
102.0,4,3.520855
102.0,2,3.524444
101.0,1,3.526345
103.0,5,3.533974
101.0,1,3.535158
102.0,4,3.540255
101.0,2,3.54267
103.0,3,3.54673
104.0,6,3.553667
104.0,9,3.566893
104.0,4,3.573815
103.0,4,3.578863
101.0,2,3.581225
101.0,1,3.583228
101.0,1,3.585087
102.0,2,3.588448
101.0,1,3.590446
105.0,6,3.600697
103.0,3,3.60575
101.0,3,3.611727
101.0,2,3.615082
102.0,6,3.625273
103.0,4,3.629672
103.0,5,3.635734
103.0,3,3.639767
104.0,5,3.645909
105.0,6,3.653819
101.0,1,3.657216
101.0,2,3.660779
102.0,4,3.667375
105.0,6,3.681803
102.0,2,3.685719
104.0,6,3.694429
101.0,2,3.697495
106.0,10,3.710701
101.0,3,3.71411
102.0,5,3.721946
104.0,6,3.728893
104.0,6,3.736343
102.0,2,3.738665
101.0,1,3.739828
102.0,3,3.743435
103.0,3,3.747075
101.0,1,3.74878
102.0,3,3.752496
102.0,2,3.754876
103.0,3,3.758294
104.0,5,3.764679
102.0,2,3.767323
101.0,1,3.76867
103.0,3,3.772162
105.0,7,3.780796
101.0,1,3.782042
103.0,3,3.785503
101.0,1,3.786714
101.0,1,3.787916
101.0,1,3.789078
102.0,2,3.791656
101.0,1,3.792862
101.0,1,3.794178
101.0,1,3.795422
101.0,5,3.801297
104.0,4,3.805932
101.0,1,3.807316
102.0,2,3.809613
104.0,6,3.817153
106.0,9,3.827703
103.0,4,3.833956
101.0,1,3.835116
101.0,1,3.836487
102.0,2,3.838742
106.0,10,3.851203
104.0,4,3.855854
103.0,4,3.860979
101.0,1,3.862997
105.0,6,3.872986
105.0,5,3.880166
101.0,1,3.88138
102.0,3,3.885005
102.0,2,3.887374
104.0,6,3.895908
104.0,4,3.902455
102.0,2,3.906431
101.0,1,3.908357
104.0,6,3.915637
101.0,5,3.921935
102.0,3,3.925614
103.0,3,3.929168
101.0,2,3.93136
103.0,6,3.938208
101.0,1,3.939383
101.0,1,3.940947
102.0,2,3.943243
102.0,2,3.945712
102.0,2,3.948007
104.0,4,3.952533
101.0,1,3.953722
102.0,2,3.956537
105.0,7,3.964707
101.0,1,3.965847
101.0,4,3.970593
103.0,4,3.975641
103.0,4,3.980561
101.0,1,3.981777
103.0,4,3.986331
101.0,1,3.987714
101.0,1,3.989002
102.0,5,3.994601
105.0,7,4.003748
101.0,1,4.005582
103.0,3,4.009407
105.0,5,4.015463
101.0,1,4.01677
101.0,1,4.018891
106.0,10,4.031054
103.0,3,4.035168
102.0,3,4.038762
101.0,2,4.041506
102.0,3,4.045072
102.0,3,4.048667
104.0,4,4.054895
104.0,5,4.060465
104.0,5,4.0669
104.0,4,4.071467
103.0,3,4.074756
101.0,1,4.076101
106.0,9,4.087432
105.0,6,4.094771
102.0,3,4.099529
102.0,2,4.101829
102.0,2,4.104228
101.0,1,4.105484
101.0,1,4.106761
103.0,5,4.113155
101.0,2,4.11534
104.0,4,4.119875
104.0,6,4.127096
103.0,3,4.130744
103.0,4,4.13531
101.0,1,4.136476
5.0,10,4.148221
102.0,2,4.150823
104.0,5,4.157745
103.0,6,4.170099
103.0,3,4.175791
107.0,10,4.193311
101.0,1,4.195048
101.0,2,4.19869
103.0,8,4.211189
103.0,3,4.214576
105.0,9,4.226856
104.0,5,4.235639
105.0,6,4.243186
103.0,6,4.249805
102.0,2,4.25221
102.0,3,4.256082
104.0,4,4.26093
104.0,8,4.270608
101.0,3,4.274083
101.0,2,4.276448
104.0,4,4.280948
104.0,5,4.287153
101.0,1,4.288392
102.0,3,4.291911
102.0,3,4.295681
101.0,1,4.296983
104.0,5,4.303643
102.0,2,4.306003
101.0,1,4.307221
103.0,4,4.312091
104.0,5,4.318096
101.0,2,4.320543
102.0,2,4.322961
105.0,5,4.329522
105.0,6,4.337319
105.0,6,4.34433
102.0,2,4.346662
103.0,5,4.352916
105.0,9,4.36419
101.0,1,4.366108
106.0,7,4.37781
103.0,7,4.387373
103.0,5,4.393301
104.0,5,4.399219
105.0,6,4.406203
105.0,7,4.41489
104.0,8,4.424389
101.0,3,4.428888
102.0,3,4.434098
103.0,3,4.439256
103.0,5,4.446369
105.0,6,4.453406
101.0,2,4.455853
104.0,6,4.465451
101.0,2,4.468847
104.0,4,4.475774
103.0,3,4.479517
3.0,10,4.495252
104.0,6,4.503465
103.0,6,4.514217
101.0,1,4.516005
102.0,2,4.519068
104.0,5,4.526242
103.0,4,4.531181
103.0,3,4.53513
101.0,1,4.536527
105.0,9,4.551895
101.0,1,4.553297
104.0,8,4.562772
102.0,4,4.567572
103.0,3,4.573117
104.0,6,4.583791
101.0,1,4.585356
101.0,1,4.586657
106.0,9,4.597097
104.0,6,4.606405
105.0,6,4.617596
106.0,7,4.626006
101.0,1,4.627207
101.0,1,4.628508
104.0,5,4.634765
102.0,4,4.639144
102.0,2,4.641511
104.0,4,4.646294
101.0,3,4.650632
104.0,5,4.65641
104.0,4,4.661157
104.0,4,4.66742
101.0,1,4.668607
101.0,1,4.669824
101.0,1,4.671094
102.0,2,4.673754
102.0,3,4.678425
102.0,2,4.680946
101.0,1,4.682166
101.0,4,4.68663
102.0,2,4.689857
101.0,1,4.69174
102.0,3,4.696695
103.0,3,4.700132
103.0,5,4.706364
106.0,6,4.714416
102.0,2,4.716676
102.0,3,4.7201
101.0,2,4.722717
101.0,1,4.723907
104.0,4,4.729912
101.0,1,4.7318
102.0,2,4.735446
101.0,1,4.737377
102.0,3,4.742912
103.0,4,4.747492
103.0,3,4.750883
103.0,6,4.758186
103.0,5,4.764631
107.0,7,4.773367
101.0,2,4.776043
102.0,2,4.778242
105.0,8,4.78755
101.0,1,4.788744
105.0,8,4.798652
103.0,3,4.802129
102.0,2,4.804617
102.0,3,4.809487
103.0,6,4.819541
101.0,1,4.821582
104.0,6,4.829079
101.0,2,4.831537
101.0,1,4.832828
104.0,4,4.83768
101.0,1,4.839377
102.0,2,4.841722
101.0,1,4.842919
102.0,2,4.8451
101.0,2,4.847478
103.0,5,4.853336
105.0,7,4.862454
104.0,5,4.868242
103.0,3,4.872262
104.0,6,4.879419
101.0,2,4.882187
101.0,1,4.883414
101.0,1,4.884626
103.0,6,4.892557
101.0,1,4.893774
101.0,2,4.89622
102.0,3,4.899689
102.0,10,4.916336
103.0,3,4.92086
105.0,6,4.928624
101.0,1,4.929789
104.0,9,4.94028
101.0,2,4.942691
104.0,7,4.951504
101.0,1,4.952723
102.0,2,4.955148
105.0,6,4.961967
101.0,1,4.963164
102.0,2,4.966179
101.0,1,4.967394
105.0,8,4.976465
105.0,7,4.9851
103.0,4,4.989726
103.0,4,4.994342
101.0,1,4.995529
101.0,2,4.998065
105.0,10,5.009515
101.0,1,5.010701
101.0,2,5.0134
104.0,7,5.021337
102.0,2,5.023772
104.0,4,5.029436
104.0,6,5.037909
102.0,2,5.041656
101.0,1,5.043761
102.0,4,5.05094
102.0,2,5.054436
102.0,2,5.057847
101.0,1,5.059758
101.0,1,5.061059
102.0,3,5.064593
101.0,1,5.065787
103.0,5,5.071716
101.0,3,5.075771
101.0,1,5.077206
104.0,4,5.082579
105.0,6,5.089539
105.0,6,5.097112
103.0,3,5.100693
105.0,5,5.107044
101.0,1,5.10826
101.0,1,5.109487
102.0,2,5.111792
105.0,7,5.12011
104.0,5,5.126175
101.0,1,5.127446
103.0,3,5.13085
103.0,3,5.134384
106.0,10,5.146894
104.0,4,5.151733
104.0,5,5.158126
102.0,4,5.162951
101.0,2,5.16531
102.0,3,5.168838
101.0,1,5.170334
103.0,3,5.17405
101.0,1,5.175196
101.0,1,5.176536
101.0,1,5.177896
102.0,3,5.181443
103.0,4,5.186773
101.0,3,5.192201
103.0,4,5.19892
102.0,3,5.204185
104.0,6,5.214642
104.0,5,5.222014
4.0,10,5.234229
102.0,4,5.239278
101.0,1,5.240435
105.0,6,5.247715
101.0,1,5.248949
101.0,1,5.2505
103.0,3,5.254714
103.0,4,5.259426
101.0,1,5.260575
102.0,4,5.265997
101.0,3,5.271156
101.0,1,5.273021
104.0,5,5.281695
103.0,4,5.286304
103.0,5,5.292125
