#{"t_start": 1760181361.6227748, "env_id": "None"}
r,l,t
102.0,2,2.62022
101.0,1,2.623548
101.0,2,2.627618
105.0,7,2.63794
102.0,3,2.641639
102.0,7,2.655541
101.0,1,2.657545
102.0,2,2.659904
101.0,1,2.662453
104.0,6,2.675702
105.0,5,2.685349
104.0,6,2.692846
106.0,6,2.700354
101.0,1,2.7016
104.0,5,2.712088
102.0,3,2.715829
101.0,1,2.717033
106.0,8,2.730167
101.0,1,2.732113
102.0,7,2.742527
102.0,2,2.744914
103.0,4,2.750108
101.0,1,2.75145
101.0,1,2.752675
103.0,4,2.757848
104.0,6,2.764688
101.0,1,2.765952
101.0,1,2.767328
104.0,5,2.776526
101.0,1,2.778424
101.0,1,2.780247
104.0,5,2.788145
104.0,9,2.799172
105.0,7,2.808328
101.0,1,2.809615
101.0,1,2.810928
103.0,3,2.81577
104.0,6,2.823227
102.0,2,2.825717
106.0,9,2.837607
106.0,9,2.847998
101.0,1,2.849397
103.0,6,2.856768
101.0,2,2.858956
103.0,4,2.863647
103.0,5,2.870858
106.0,6,2.877836
104.0,6,2.885218
101.0,1,2.886459
106.0,9,2.897326
102.0,4,2.901984
103.0,3,2.905468
103.0,8,2.914726
103.0,4,2.919514
104.0,4,2.924024
102.0,2,2.926896
102.0,3,2.930378
104.0,6,2.937197
103.0,4,2.942428
102.0,2,2.94498
102.0,2,2.947367
105.0,6,2.954161
101.0,1,2.955456
101.0,1,2.95672
101.0,1,2.958255
101.0,1,2.959581
103.0,4,2.964394
102.0,4,2.969162
102.0,3,2.972789
101.0,1,2.9744
102.0,3,2.977721
105.0,6,2.984628
106.0,7,2.996215
106.0,9,3.013812
101.0,1,3.01599
102.0,3,3.021882
102.0,3,3.025998
101.0,1,3.027415
101.0,2,3.030109
101.0,5,3.039967
104.0,4,3.04879
102.0,3,3.052684
101.0,1,3.053964
105.0,5,3.059778
104.0,5,3.066558
102.0,3,3.072009
101.0,1,3.073773
104.0,6,3.083776
101.0,1,3.08493
