#{"t_start": 1760181361.6195555, "env_id": "None"}
r,l,t
101.0,1,2.619156
102.0,5,2.633051
101.0,1,2.634745
101.0,1,2.63623
102.0,2,2.638765
104.0,5,2.644812
104.0,5,2.654988
101.0,2,2.658674
103.0,4,2.665566
102.0,3,2.672913
103.0,3,2.67872
103.0,3,2.68499
3.0,10,2.69852
104.0,10,2.715199
101.0,1,2.716569
101.0,1,2.717816
105.0,6,2.724848
101.0,1,2.72715
105.0,6,2.738997
103.0,4,2.74439
103.0,3,2.748082
104.0,4,2.753275
101.0,1,2.754576
106.0,7,2.763372
104.0,6,2.770494
101.0,1,2.771798
101.0,1,2.773982
101.0,1,2.776073
101.0,1,2.777855
101.0,1,2.779619
105.0,6,2.790028
101.0,1,2.791265
101.0,1,2.792572
107.0,8,2.80228
102.0,2,2.805132
101.0,1,2.806437
107.0,7,2.815916
101.0,1,2.817572
103.0,5,2.824098
104.0,6,2.831506
103.0,4,2.836895
102.0,3,2.840788
102.0,3,2.844289
102.0,3,2.847664
104.0,4,2.852537
101.0,1,2.854342
106.0,9,2.864614
104.0,5,2.871635
101.0,1,2.872843
104.0,9,2.883667
105.0,5,2.889641
102.0,2,2.891937
101.0,2,2.894117
101.0,2,2.896525
101.0,2,2.899279
106.0,6,2.906439
106.0,7,2.914483
102.0,4,2.919179
105.0,6,2.926083
103.0,3,2.930075
104.0,8,2.939215
103.0,5,2.945607
102.0,2,2.94816
104.0,5,2.953916
102.0,3,2.957329
101.0,2,2.959868
101.0,2,2.962732
101.0,1,2.96405
102.0,2,2.966366
103.0,3,2.969939
104.0,4,2.97474
103.0,5,2.980869
102.0,2,2.983354
104.0,4,2.987773
104.0,4,2.993685
102.0,2,2.997719
105.0,6,3.008238
102.0,2,3.011877
101.0,1,3.014144
105.0,5,3.02499
104.0,5,3.031952
104.0,5,3.041437
104.0,8,3.055864
106.0,7,3.064219
101.0,1,3.065517
102.0,3,3.069714
102.0,3,3.075135
105.0,5,3.083792
101.0,1,3.085778
103.0,3,3.089356
102.0,2,3.091588
104.0,6,3.098643
101.0,1,3.099895
104.0,5,3.106172
101.0,1,3.107419
106.0,6,3.114486
102.0,4,3.120775
101.0,1,3.12254
101.0,1,3.124352
106.0,6,3.138401
102.0,2,3.142695
101.0,1,3.144318
103.0,5,3.150514
101.0,1,3.152234
101.0,2,3.154685
103.0,5,3.160387
101.0,1,3.161554
102.0,3,3.165411
106.0,9,3.176766
101.0,1,3.178135
101.0,1,3.179564
102.0,2,3.182034
102.0,2,3.184608
106.0,6,3.1918
103.0,7,3.200412
101.0,2,3.202743
105.0,5,3.208438
101.0,1,3.209699
105.0,10,3.221713
5.0,10,3.233571
101.0,1,3.23499
101.0,1,3.236304
102.0,3,3.23997
106.0,7,3.248365
105.0,6,3.255438
104.0,6,3.263452
103.0,3,3.267224
103.0,6,3.274771
103.0,4,3.279457
105.0,5,3.285413
102.0,4,3.291336
108.0,9,3.306067
101.0,1,3.307338
101.0,3,3.31079
104.0,4,3.315044
101.0,1,3.316923
102.0,2,3.319429
102.0,5,3.325791
103.0,4,3.330419
101.0,3,3.333977
105.0,5,3.34322
104.0,4,3.35022
103.0,3,3.355916
104.0,4,3.36308
102.0,2,3.366725
102.0,2,3.369942
101.0,1,3.371153
101.0,1,3.372306
102.0,2,3.374498
101.0,3,3.378071
101.0,1,3.379348
101.0,1,3.380556
101.0,2,3.383794
101.0,1,3.385128
103.0,3,3.388621
104.0,8,3.398307
102.0,2,3.402851
102.0,2,3.406321
101.0,1,3.408057
106.0,8,3.422337
105.0,7,3.432907
102.0,2,3.435344
105.0,6,3.442729
103.0,4,3.44818
102.0,4,3.452859
101.0,1,3.454016
101.0,2,3.456494
102.0,2,3.458985
102.0,4,3.464067
105.0,6,3.470981
102.0,2,3.473445
105.0,7,3.48184
105.0,7,3.489849
106.0,7,3.498268
104.0,4,3.502949
101.0,3,3.5065
103.0,5,3.514896
102.0,2,3.518589
106.0,8,3.531107
102.0,3,3.534865
101.0,2,3.537349
101.0,1,3.538694
101.0,2,3.541406
101.0,1,3.542675
102.0,2,3.544978
103.0,3,3.548358
103.0,4,3.552983
101.0,1,3.554231
106.0,10,3.571311
102.0,2,3.573538
103.0,3,3.577213
101.0,1,3.579204
106.0,8,3.59306
104.0,7,3.605787
104.0,4,3.612691
102.0,2,3.616156
107.0,10,3.629128
105.0,7,3.638283
103.0,5,3.644155
103.0,4,3.649741
105.0,9,3.668518
104.0,5,3.679641
105.0,6,3.688927
101.0,1,3.69039
101.0,1,3.692048
101.0,1,3.693448
101.0,2,3.69628
104.0,7,3.705429
103.0,7,3.71496
102.0,4,3.720168
101.0,1,3.721394
103.0,4,3.726049
102.0,4,3.731073
101.0,2,3.733395
103.0,6,3.740512
102.0,2,3.743032
103.0,3,3.747166
101.0,1,3.748443
104.0,5,3.754246
104.0,5,3.760653
102.0,2,3.76327
106.0,9,3.773937
101.0,1,3.77518
106.0,8,3.785025
105.0,5,3.791371
104.0,5,3.797247
104.0,4,3.801851
103.0,3,3.805569
103.0,3,3.809628
105.0,7,3.817649
101.0,2,3.820084
101.0,2,3.822341
104.0,6,3.831063
104.0,4,3.835785
102.0,2,3.838234
105.0,5,3.844728
101.0,1,3.845882
101.0,1,3.847123
102.0,3,3.850495
105.0,7,3.860717
104.0,5,3.868929
101.0,1,3.870671
102.0,2,3.873738
105.0,5,3.87965
103.0,6,3.886848
101.0,1,3.88815
106.0,6,3.898396
101.0,1,3.900162
103.0,3,3.905805
102.0,3,3.909281
103.0,3,3.912722
104.0,5,3.919013
102.0,2,3.921569
104.0,5,3.927313
102.0,7,3.935333
102.0,4,3.940398
106.0,10,3.95249
102.0,2,3.954904
101.0,2,3.957157
106.0,7,3.965297
102.0,2,3.968137
103.0,4,3.973038
101.0,1,3.974232
103.0,3,3.977728
103.0,5,3.983668
101.0,1,3.984948
104.0,4,3.989337
101.0,1,3.99055
103.0,4,3.995262
101.0,1,3.996457
102.0,3,4.001554
103.0,3,4.005365
103.0,4,4.010054
101.0,1,4.011385
101.0,1,4.012723
101.0,1,4.014813
101.0,1,4.016296
102.0,2,4.018855
101.0,1,4.020066
106.0,8,4.029804
102.0,3,4.033426
103.0,3,4.037425
104.0,8,4.048578
102.0,6,4.055169
106.0,9,4.066129
103.0,5,4.072021
105.0,6,4.079637
101.0,1,4.08085
103.0,3,4.084537
102.0,2,4.086974
101.0,1,4.088145
102.0,2,4.09077
105.0,10,4.103904
102.0,2,4.106311
106.0,7,4.114617
101.0,2,4.116911
104.0,6,4.12431
106.0,8,4.133654
102.0,3,4.13712
104.0,7,4.145555
102.0,3,4.148942
101.0,1,4.150141
101.0,1,4.151382
102.0,2,4.155421
102.0,3,4.161562
102.0,2,4.166054
101.0,1,4.167301
106.0,8,4.180983
103.0,3,4.186785
102.0,3,4.192858
101.0,1,4.194656
101.0,1,4.196386
101.0,1,4.198292
104.0,5,4.205908
102.0,2,4.208245
102.0,4,4.212862
106.0,6,4.220979
104.0,5,4.229727
104.0,6,4.237867
104.0,7,4.245761
105.0,6,4.253204
101.0,2,4.255578
101.0,1,4.256849
101.0,4,4.261352
106.0,8,4.271188
104.0,6,4.278082
105.0,7,4.286649
101.0,1,4.287858
102.0,3,4.2916
102.0,2,4.294117
101.0,1,4.295401
101.0,1,4.297009
101.0,1,4.298342
101.0,1,4.299591
102.0,2,4.301922
102.0,2,4.304358
102.0,2,4.306752
6.0,10,4.318906
101.0,2,4.32155
103.0,4,4.326623
104.0,4,4.332055
102.0,3,4.335618
104.0,6,4.34262
101.0,2,4.345412
103.0,3,4.348834
104.0,6,4.355699
102.0,2,4.358083
101.0,1,4.360175
102.0,2,4.36371
101.0,2,4.366982
102.0,2,4.370387
103.0,4,4.377026
101.0,2,4.379735
103.0,4,4.384563
104.0,9,4.39514
102.0,3,4.398481
102.0,2,4.400776
106.0,6,4.408403
101.0,1,4.409624
103.0,4,4.414161
104.0,5,4.420345
101.0,1,4.421528
106.0,9,4.4369
104.0,5,4.44354
102.0,2,4.445723
102.0,4,4.450511
102.0,2,4.452991
102.0,5,4.461424
103.0,3,4.466478
101.0,1,4.468287
102.0,3,4.472917
105.0,5,4.480235
101.0,4,4.487402
102.0,2,4.489806
104.0,4,4.495225
101.0,2,4.49794
103.0,3,4.502774
101.0,1,4.504695
106.0,8,4.518394
101.0,1,4.519593
101.0,2,4.522161
101.0,1,4.523413
102.0,2,4.525891
101.0,1,4.52713
105.0,7,4.537682
104.0,4,4.544144
102.0,3,4.549247
101.0,1,4.550465
101.0,2,4.552728
101.0,1,4.553891
105.0,8,4.563527
103.0,3,4.569103
103.0,5,4.577913
102.0,2,4.581313
103.0,3,4.584765
103.0,3,4.588229
104.0,4,4.593047
105.0,6,4.602385
104.0,6,4.613553
102.0,2,4.616144
101.0,1,4.617388
104.0,5,4.623153
102.0,2,4.625576
104.0,8,4.635093
103.0,6,4.642248
102.0,3,4.646589
101.0,1,4.647808
103.0,5,4.653452
101.0,1,4.654603
102.0,4,4.65941
103.0,4,4.665771
103.0,7,4.675609
104.0,5,4.681375
104.0,6,4.691192
103.0,4,4.696051
101.0,1,4.697319
102.0,2,4.699601
103.0,5,4.706009
105.0,6,4.713802
101.0,3,4.717329
102.0,2,4.719859
104.0,4,4.7259
104.0,5,4.735131
106.0,6,4.743412
106.0,6,4.75026
101.0,1,4.751468
101.0,1,4.752719
104.0,5,4.759342
101.0,1,4.76058
102.0,2,4.76298
101.0,1,4.764243
102.0,2,4.766654
106.0,8,4.7765
101.0,1,4.777654
101.0,2,4.779886
101.0,2,4.782252
103.0,3,4.785868
104.0,4,4.791084
101.0,1,4.792351
103.0,4,4.796772
101.0,1,4.798049
104.0,4,4.803625
104.0,6,4.81369
101.0,1,4.815597
104.0,4,4.821452
103.0,3,4.825032
104.0,5,4.831121
101.0,1,4.832381
103.0,4,4.83764
103.0,3,4.841048
105.0,7,4.849256
102.0,2,4.852681
104.0,4,4.857188
106.0,10,4.869397
101.0,2,4.871678
101.0,1,4.873059
102.0,2,4.875371
101.0,1,4.876652
104.0,5,4.883573
101.0,1,4.884836
101.0,1,4.886059
104.0,4,4.890821
101.0,1,4.892139
103.0,3,4.895641
101.0,1,4.896822
101.0,2,4.900262
103.0,5,4.908774
101.0,2,4.912319
101.0,1,4.914203
102.0,3,4.917943
104.0,4,4.923295
101.0,4,4.927932
102.0,3,4.931661
101.0,1,4.932826
