#{"t_start": 1760181361.28534, "env_id": "None"}
r,l,t
106.0,6,4.287908
103.0,4,4.292501
101.0,2,4.294726
102.0,2,4.297129
101.0,1,4.298305
106.0,6,4.305657
106.0,8,4.315204
104.0,4,4.320317
106.0,6,4.327049
103.0,5,4.333726
103.0,6,4.341835
103.0,3,4.345471
102.0,2,4.348899
101.0,1,4.350423
104.0,4,4.355437
107.0,7,4.363927
101.0,1,4.365192
101.0,2,4.367559
102.0,3,4.371525
104.0,5,4.377411
102.0,2,4.38158
106.0,7,4.389292
104.0,4,4.394647
103.0,4,4.399167
104.0,6,4.406117
102.0,2,4.408844
102.0,6,4.416287
102.0,2,4.418669
102.0,2,4.421104
106.0,8,4.431846
101.0,2,4.43425
101.0,2,4.436783
101.0,1,4.438034
101.0,2,4.440438
101.0,1,4.442042
104.0,6,4.44875
104.0,5,4.454577
102.0,4,4.459667
101.0,2,4.462029
102.0,2,4.464195
101.0,1,4.465333
104.0,5,4.471249
102.0,2,4.473853
102.0,4,4.47824
101.0,1,4.479685
102.0,3,4.483073
102.0,3,4.487721
103.0,5,4.498271
102.0,4,4.505768
105.0,9,4.520856
102.0,3,4.526951
106.0,7,4.538846
104.0,7,4.546994
101.0,1,4.548346
104.0,4,4.55321
102.0,5,4.561981
101.0,1,4.563809
105.0,7,4.57321
103.0,3,4.576453
104.0,5,4.582225
101.0,1,4.583514
104.0,5,4.58971
101.0,1,4.590951
101.0,2,4.593245
102.0,2,4.595453
104.0,5,4.601976
104.0,5,4.607673
103.0,4,4.61221
102.0,3,4.615952
103.0,4,4.620781
102.0,2,4.6232
101.0,1,4.624344
101.0,1,4.625695
101.0,1,4.627004
104.0,7,4.636023
102.0,2,4.638488
101.0,1,4.639775
106.0,8,4.649373
102.0,2,4.651808
102.0,3,4.655685
102.0,2,4.658224
101.0,1,4.659542
103.0,3,4.664007
104.0,5,4.669751
103.0,3,4.673142
101.0,1,4.674348
103.0,3,4.678261
101.0,3,4.681793
101.0,1,4.682939
101.0,1,4.684186
103.0,6,4.691081
103.0,3,4.696109
5.0,10,4.712492
103.0,4,4.717395
101.0,1,4.718688
102.0,2,4.721157
104.0,7,4.729235
104.0,6,4.736221
106.0,10,4.748293
106.0,8,4.758871
102.0,2,4.762338
101.0,1,4.764101
102.0,2,4.767493
101.0,1,4.769253
104.0,6,4.777672
103.0,3,4.781116
102.0,2,4.783417
105.0,7,4.793799
104.0,5,4.802374
101.0,2,4.805792
103.0,3,4.809539
101.0,2,4.812516
103.0,8,4.82525
103.0,5,4.83206
105.0,7,4.844203
102.0,4,4.851162
103.0,4,4.856262
101.0,1,4.857546
101.0,1,4.858817
104.0,4,4.863625
101.0,1,4.865134
102.0,2,4.868126
101.0,2,4.871778
103.0,4,4.878232
6.0,10,4.891342
101.0,1,4.892786
101.0,1,4.894056
103.0,4,4.899742
103.0,3,4.905009
102.0,2,4.908482
102.0,2,4.912001
106.0,9,4.923571
102.0,2,4.925926
102.0,5,4.933219
103.0,4,4.939835
101.0,1,4.941762
102.0,2,4.945183
104.0,6,4.953899
104.0,6,4.960976
106.0,8,4.970437
102.0,3,4.973935
104.0,6,4.981942
101.0,1,4.983153
104.0,7,4.991169
102.0,4,4.997433
101.0,3,5.001117
101.0,1,5.002575
101.0,1,5.003776
101.0,3,5.008446
103.0,3,5.012188
103.0,3,5.015505
105.0,6,5.025286
101.0,1,5.026715
102.0,3,5.030146
107.0,10,5.04333
104.0,4,5.047932
102.0,3,5.051454
105.0,7,5.0618
101.0,1,5.063666
101.0,1,5.065447
101.0,1,5.067364
105.0,6,5.076354
101.0,1,5.077513
106.0,10,5.090034
102.0,2,5.092364
102.0,3,5.095967
104.0,5,5.102137
106.0,6,5.109535
102.0,5,5.115256
104.0,6,5.122729
101.0,1,5.124034
102.0,2,5.126485
101.0,5,5.132147
101.0,1,5.13344
101.0,1,5.13463
107.0,8,5.147783
102.0,2,5.151576
101.0,2,5.154424
101.0,2,5.156846
101.0,1,5.158007
104.0,4,5.162845
101.0,1,5.164116
102.0,2,5.166508
103.0,4,5.171742
104.0,7,5.179808
103.0,3,5.183354
103.0,3,5.188048
101.0,1,5.189206
107.0,7,5.197083
101.0,2,5.19951
103.0,6,5.207192
102.0,3,5.210779
104.0,4,5.215925
102.0,3,5.220192
104.0,5,5.226245
104.0,6,5.234346
102.0,2,5.237744
101.0,1,5.239543
101.0,1,5.24125
103.0,4,5.248321
101.0,1,5.249624
107.0,10,5.262062
102.0,3,5.265792
105.0,6,5.272713
101.0,1,5.273983
101.0,1,5.275235
101.0,2,5.277739
101.0,1,5.279284
105.0,5,5.285172
104.0,5,5.290857
103.0,3,5.294974
101.0,3,5.298634
101.0,2,5.300866
104.0,4,5.305246
101.0,1,5.30648
101.0,2,5.308849
101.0,1,5.310545
106.0,8,5.319746
103.0,3,5.32324
104.0,5,5.329302
101.0,1,5.330458
103.0,5,5.335994
101.0,1,5.337286
105.0,5,5.343414
102.0,2,5.34581
102.0,2,5.348097
105.0,6,5.355035
101.0,1,5.356208
102.0,2,5.359428
102.0,2,5.362145
103.0,3,5.365868
101.0,1,5.3679
102.0,2,5.371616
107.0,7,5.38442
105.0,7,5.394617
105.0,6,5.401729
106.0,10,5.415073
105.0,5,5.421211
