#{"t_start": 1760184802.503352, "env_id": "None"}
r,l,t
106.0,7,4.43174
102.0,4,4.438654
101.0,1,4.440454
104.0,5,4.447328
101.0,1,4.448561
105.0,6,4.455735
105.0,6,4.464042
103.0,3,4.46731
102.0,3,4.470834
102.0,2,4.473654
103.0,3,4.477178
101.0,3,4.480793
101.0,1,4.482027
101.0,2,4.484525
102.0,3,4.488156
105.0,8,4.497804
101.0,1,4.49898
101.0,1,4.500299
102.0,4,4.505786
101.0,2,4.508486
103.0,4,4.512846
104.0,5,4.519111
4.0,10,4.536368
104.0,4,4.543445
102.0,3,4.549189
102.0,4,4.555186
101.0,1,4.556457
101.0,1,4.557656
104.0,5,4.565623
102.0,3,4.570428
103.0,3,4.575023
106.0,7,4.585688
104.0,6,4.595366
101.0,2,4.597806
102.0,2,4.60092
104.0,6,4.610335
104.0,7,4.622596
101.0,1,4.625026
106.0,8,4.639431
106.0,7,4.653276
101.0,4,4.661711
103.0,6,4.669641
102.0,2,4.67419
103.0,4,4.682834
102.0,4,4.688467
107.0,10,4.704467
102.0,3,4.71114
102.0,2,4.713854
101.0,2,4.716213
103.0,4,4.721629
101.0,3,4.729473
106.0,6,4.741182
105.0,7,4.751156
105.0,5,4.758739
104.0,5,4.768253
102.0,2,4.771949
104.0,8,4.788049
101.0,1,4.789476
103.0,4,4.795233
101.0,2,4.797614
106.0,7,4.805644
103.0,3,4.809835
103.0,5,4.815872
101.0,2,4.818193
102.0,2,4.820586
101.0,1,4.821851
102.0,2,4.825191
104.0,4,4.830034
101.0,2,4.83238
104.0,4,4.837137
104.0,6,4.844846
103.0,6,4.852223
101.0,2,4.855338
104.0,4,4.860567
103.0,5,4.866515
101.0,1,4.86779
105.0,5,4.874361
104.0,5,4.880157
103.0,4,4.884992
101.0,1,4.886282
104.0,8,4.896671
107.0,8,4.907287
101.0,2,4.909696
101.0,1,4.910938
105.0,5,4.916671
103.0,6,4.92431
103.0,3,4.927812
104.0,5,4.933835
101.0,1,4.935492
101.0,1,4.936915
102.0,3,4.940815
107.0,8,4.951078
102.0,2,4.953788
103.0,3,4.957503
102.0,4,4.962162
103.0,4,4.967411
104.0,5,4.97339
104.0,5,4.979387
101.0,1,4.980565
101.0,1,4.981747
101.0,2,4.985146
102.0,3,4.990336
103.0,9,5.004389
101.0,2,5.008357
101.0,1,5.010175
104.0,4,5.015517
101.0,1,5.017381
102.0,2,5.019882
105.0,6,5.027441
102.0,3,5.03248
102.0,2,5.036317
103.0,4,5.041642
102.0,2,5.044193
102.0,3,5.049434
104.0,5,5.056224
101.0,2,5.058917
102.0,2,5.063208
102.0,5,5.072913
105.0,5,5.08024
101.0,1,5.081445
103.0,4,5.086315
106.0,8,5.102027
101.0,1,5.103227
102.0,2,5.105887
102.0,2,5.111775
102.0,2,5.114784
104.0,4,5.122094
102.0,3,5.131274
104.0,5,5.138026
101.0,1,5.140718
103.0,5,5.149902
101.0,1,5.151139
106.0,10,5.16726
107.0,10,5.182543
101.0,1,5.183862
102.0,2,5.186798
102.0,4,5.1943
102.0,2,5.196836
102.0,2,5.199201
103.0,5,5.205846
101.0,2,5.211007
102.0,2,5.21363
104.0,4,5.219822
103.0,3,5.225279
103.0,3,5.231138
101.0,1,5.232482
103.0,3,5.236287
101.0,1,5.237562
103.0,4,5.246882
101.0,1,5.249516
101.0,1,5.251652
102.0,3,5.259372
101.0,1,5.261117
103.0,4,5.266649
101.0,1,5.267919
103.0,6,5.277832
105.0,6,5.285595
102.0,2,5.28803
104.0,4,5.295145
102.0,4,5.302009
105.0,5,5.312198
101.0,1,5.314203
102.0,3,5.31789
