#{"t_start": 1760184802.4972851, "env_id": "None"}
r,l,t
101.0,1,2.797647
102.0,2,2.800354
101.0,1,2.801696
102.0,2,2.804343
102.0,3,2.808012
103.0,3,2.812165
102.0,3,2.81602
103.0,4,2.820889
105.0,7,2.830235
103.0,3,2.833674
104.0,5,2.839538
104.0,5,2.851059
102.0,2,2.854582
103.0,5,2.861052
102.0,3,2.865272
102.0,2,2.867814
103.0,3,2.872914
103.0,4,2.880169
105.0,5,2.892166
101.0,1,2.893524
101.0,1,2.894736
105.0,5,2.900945
101.0,1,2.903411
102.0,4,2.908892
104.0,6,2.916321
104.0,5,2.923546
103.0,4,2.928401
105.0,8,2.941508
102.0,3,2.945066
101.0,1,2.946674
104.0,4,2.953789
104.0,5,2.962081
104.0,8,2.977297
104.0,5,2.984734
103.0,3,2.988555
105.0,8,3.001149
102.0,6,3.008338
102.0,2,3.01277
104.0,6,3.020212
101.0,1,3.021365
102.0,3,3.024912
101.0,1,3.026633
103.0,3,3.030336
101.0,1,3.031589
105.0,10,3.044911
102.0,3,3.050285
103.0,3,3.05559
102.0,2,3.059383
103.0,4,3.064461
104.0,8,3.075559
102.0,2,3.077916
107.0,9,3.092161
102.0,2,3.094832
102.0,2,3.097419
106.0,7,3.109782
103.0,4,3.117298
101.0,1,3.118659
104.0,8,3.128804
105.0,6,3.13636
101.0,1,3.137683
102.0,2,3.140182
103.0,7,3.151969
101.0,2,3.154804
102.0,2,3.157477
101.0,1,3.158703
104.0,5,3.166189
103.0,4,3.173501
101.0,1,3.174694
106.0,8,3.186771
102.0,3,3.190342
102.0,2,3.193327
101.0,4,3.200345
102.0,3,3.204327
101.0,1,3.206531
106.0,9,3.221288
102.0,4,3.227395
104.0,7,3.23985
101.0,1,3.241343
103.0,3,3.24755
104.0,6,3.265115
102.0,2,3.27004
102.0,3,3.277702
103.0,5,3.288753
101.0,2,3.294018
102.0,2,3.299618
101.0,1,3.302145
103.0,3,3.306442
104.0,5,3.317209
104.0,6,3.326537
102.0,5,3.337581
104.0,4,3.343128
101.0,1,3.344818
101.0,1,3.347498
106.0,8,3.3609
102.0,2,3.366373
103.0,3,3.372009
101.0,2,3.37454
105.0,6,3.386628
102.0,2,3.389096
105.0,7,3.399414
5.0,10,3.416536
104.0,6,3.424982
102.0,3,3.430453
104.0,4,3.437933
102.0,3,3.443559
101.0,2,3.44931
101.0,1,3.451323
102.0,2,3.45432
102.0,2,3.456774
102.0,2,3.459203
104.0,6,3.469324
101.0,1,3.471177
104.0,6,3.483071
102.0,3,3.48652
3.0,10,3.50159
101.0,1,3.503185
102.0,3,3.506995
102.0,2,3.510236
104.0,4,3.515567
104.0,4,3.520457
101.0,1,3.521631
103.0,3,3.526454
101.0,1,3.527693
101.0,1,3.530522
101.0,1,3.532537
101.0,2,3.534918
101.0,2,3.538475
106.0,8,3.551
103.0,4,3.55598
102.0,2,3.559457
103.0,3,3.564983
101.0,1,3.566551
104.0,4,3.571781
105.0,10,3.588038
102.0,2,3.590539
105.0,6,3.598689
102.0,2,3.601964
102.0,2,3.604404
101.0,2,3.606977
102.0,2,3.610946
104.0,7,3.6214
101.0,1,3.623254
101.0,2,3.627057
101.0,1,3.628805
101.0,1,3.630433
102.0,2,3.632979
103.0,8,3.645
102.0,2,3.648299
101.0,1,3.650092
101.0,1,3.651326
101.0,2,3.653702
105.0,7,3.665026
101.0,1,3.666935
104.0,5,3.675017
106.0,7,3.686025
103.0,4,3.693699
101.0,1,3.695581
101.0,1,3.697566
102.0,2,3.701422
102.0,3,3.706224
102.0,3,3.710122
101.0,1,3.711348
104.0,5,3.718418
105.0,7,3.729817
104.0,4,3.737542
101.0,2,3.740026
101.0,1,3.741259
102.0,3,3.745741
106.0,6,3.756252
101.0,1,3.757546
101.0,1,3.75903
105.0,8,3.768955
101.0,2,3.771324
101.0,1,3.773228
102.0,2,3.776761
101.0,1,3.778806
102.0,3,3.782447
104.0,8,3.80054
101.0,1,3.802582
104.0,6,3.815091
101.0,1,3.817032
105.0,7,3.825264
101.0,1,3.826463
102.0,2,3.829774
101.0,1,3.830982
104.0,5,3.838927
102.0,3,3.844357
101.0,1,3.846313
103.0,4,3.854111
102.0,2,3.856731
104.0,4,3.861516
104.0,6,3.869402
101.0,1,3.870646
105.0,7,3.879175
105.0,5,3.885842
104.0,6,3.892965
101.0,1,3.894201
4.0,10,3.908677
106.0,10,3.925792
105.0,8,3.940907
104.0,4,3.947252
101.0,2,3.94971
101.0,1,3.950938
104.0,5,3.959981
102.0,2,3.962372
101.0,2,3.96488
101.0,1,3.966298
102.0,6,3.97451
102.0,3,3.978578
103.0,3,3.984055
101.0,1,3.985808
104.0,4,3.992004
104.0,4,3.997212
106.0,9,4.010155
101.0,1,4.011389
102.0,2,4.015182
106.0,9,4.029021
101.0,1,4.030464
106.0,8,4.043695
106.0,7,4.056163
101.0,2,4.0599
101.0,1,4.061858
107.0,7,4.073246
103.0,4,4.079715
101.0,2,4.082105
101.0,2,4.086131
103.0,3,4.092335
103.0,4,4.10137
102.0,2,4.104474
104.0,6,4.115638
101.0,1,4.116906
103.0,4,4.124176
102.0,3,4.129602
102.0,2,4.133699
101.0,1,4.135059
101.0,1,4.137438
101.0,1,4.139918
102.0,2,4.143692
102.0,2,4.148528
101.0,1,4.150562
104.0,10,4.164908
101.0,1,4.166729
102.0,2,4.17083
106.0,7,4.184514
101.0,1,4.185796
101.0,1,4.187154
101.0,1,4.188502
101.0,1,4.18969
104.0,7,4.199121
104.0,6,4.205996
101.0,1,4.207231
102.0,2,4.20964
102.0,2,4.212326
105.0,10,4.224921
103.0,5,4.232663
103.0,5,4.241028
104.0,8,4.252138
102.0,2,4.254538
102.0,3,4.258139
105.0,5,4.26478
103.0,4,4.269554
102.0,2,4.271956
101.0,1,4.273293
101.0,1,4.274525
104.0,4,4.279978
102.0,5,4.285954
101.0,1,4.287307
101.0,1,4.288525
101.0,1,4.289872
102.0,2,4.292744
101.0,1,4.293972
104.0,6,4.301047
102.0,2,4.303529
103.0,5,4.311575
105.0,6,4.322019
106.0,9,4.333732
106.0,8,4.345626
102.0,4,4.352576
104.0,5,4.359805
101.0,3,4.363338
102.0,3,4.367069
103.0,3,4.370998
102.0,2,4.373492
104.0,4,4.378062
103.0,5,4.383719
101.0,2,4.387206
104.0,5,4.39309
101.0,1,4.39429
102.0,3,4.398045
104.0,4,4.403275
101.0,1,4.404459
101.0,2,4.406808
103.0,3,4.410596
102.0,3,4.414066
103.0,3,4.418294
101.0,1,4.420237
104.0,7,4.431648
101.0,1,4.43381
102.0,3,4.439634
105.0,6,4.449958
104.0,4,4.45456
102.0,2,4.456915
101.0,1,4.458088
102.0,2,4.4605
103.0,3,4.46523
104.0,9,4.475652
102.0,2,4.478149
103.0,3,4.482054
103.0,4,4.486773
102.0,3,4.490514
104.0,7,4.499274
101.0,1,4.500489
6.0,10,4.513115
104.0,6,4.520172
102.0,3,4.523957
103.0,5,4.532301
101.0,2,4.535626
104.0,4,4.542397
106.0,6,4.553424
102.0,2,4.557387
101.0,1,4.558886
102.0,5,4.564958
105.0,7,4.576455
101.0,1,4.577799
103.0,3,4.582837
102.0,3,4.587532
101.0,1,4.588826
105.0,5,4.596597
102.0,2,4.600088
104.0,5,4.606924
101.0,2,4.610646
104.0,4,4.616327
102.0,2,4.619005
105.0,7,4.633459
101.0,2,4.637357
101.0,1,4.63885
104.0,4,4.645446
104.0,5,4.655409
104.0,5,4.666417
103.0,5,4.673048
105.0,5,4.683046
103.0,4,4.690835
101.0,2,4.693329
103.0,4,4.70121
101.0,1,4.702806
101.0,1,4.704351
106.0,8,4.717052
105.0,6,4.725266
105.0,5,4.735435
102.0,2,4.739022
102.0,3,4.744272
104.0,7,4.75597
101.0,2,4.758494
105.0,5,4.76703
101.0,2,4.77068
101.0,1,4.772537
102.0,2,4.776174
105.0,5,4.787307
101.0,4,4.794076
102.0,3,4.798948
102.0,2,4.801261
103.0,4,4.805864
104.0,7,4.814601
101.0,1,4.81586
102.0,2,4.81823
102.0,2,4.820641
