#{"t_start": 1760184802.4956508, "env_id": "None"}
r,l,t
102.0,5,2.804636
104.0,5,2.81134
103.0,4,2.81633
101.0,3,2.820099
104.0,5,2.826833
102.0,2,2.829472
103.0,4,2.834096
105.0,7,2.843377
101.0,1,2.846146
102.0,2,2.850812
105.0,8,2.862584
102.0,2,2.865479
101.0,1,2.866813
101.0,1,2.868131
102.0,2,2.870682
104.0,6,2.881717
105.0,5,2.893692
102.0,3,2.897631
101.0,1,2.898953
102.0,2,2.901238
101.0,1,2.902475
104.0,5,2.910425
104.0,6,2.917797
103.0,6,2.926478
104.0,4,2.93141
101.0,1,2.932925
103.0,4,2.94038
101.0,2,2.943039
105.0,7,2.95354
106.0,6,2.963551
103.0,5,2.973424
104.0,4,2.980746
101.0,2,2.983779
103.0,5,2.990135
104.0,4,2.994885
101.0,1,2.996263
101.0,2,3.000694
102.0,2,3.004028
101.0,1,3.005196
103.0,4,3.009891
101.0,1,3.013005
106.0,9,3.024303
102.0,3,3.028225
106.0,10,3.040281
102.0,5,3.048639
102.0,3,3.053689
104.0,5,3.062371
101.0,1,3.063556
101.0,1,3.064858
106.0,8,3.075313
101.0,1,3.077114
104.0,6,3.086072
105.0,6,3.095135
105.0,6,3.10334
101.0,1,3.105126
103.0,3,3.111354
101.0,1,3.113196
105.0,8,3.125557
101.0,3,3.129122
102.0,3,3.132806
103.0,5,3.139275
101.0,1,3.14056
101.0,2,3.143023
102.0,3,3.148196
104.0,6,3.15779
101.0,1,3.159041
103.0,3,3.162682
104.0,6,3.173816
103.0,9,3.186975
101.0,1,3.188335
6.0,10,3.203234
104.0,5,3.211814
103.0,4,3.218395
101.0,1,3.219672
104.0,4,3.2254
105.0,7,3.237542
101.0,2,3.241411
101.0,1,3.242904
102.0,2,3.245418
102.0,2,3.251593
102.0,4,3.262851
101.0,1,3.266632
103.0,3,3.273807
106.0,7,3.290316
101.0,1,3.293135
104.0,5,3.305569
101.0,1,3.306864
103.0,4,3.314811
101.0,1,3.317141
105.0,6,3.326239
101.0,1,3.328075
104.0,4,3.337266
105.0,6,3.346373
103.0,6,3.358015
101.0,2,3.361256
102.0,2,3.364976
107.0,10,3.38352
103.0,4,3.390661
101.0,1,3.392036
101.0,1,3.393468
102.0,2,3.395888
106.0,9,3.409325
101.0,1,3.411431
101.0,1,3.413363
103.0,4,3.421291
101.0,2,3.42411
103.0,3,3.428449
101.0,2,3.431985
106.0,7,3.445122
105.0,6,3.457152
104.0,5,3.464414
107.0,7,3.476735
102.0,2,3.480909
104.0,8,3.492939
101.0,1,3.494746
104.0,7,3.504745
104.0,6,3.513196
105.0,5,3.519665
105.0,6,3.528048
101.0,1,3.529262
101.0,2,3.534128
104.0,5,3.542113
106.0,9,3.555112
102.0,3,3.558943
104.0,5,3.568109
102.0,2,3.570442
101.0,1,3.57177
104.0,5,3.58154
101.0,1,3.582791
101.0,1,3.58401
101.0,1,3.585195
102.0,2,3.588368
102.0,2,3.590853
102.0,2,3.59377
104.0,5,3.600194
101.0,1,3.602272
103.0,3,3.605998
101.0,1,3.607347
103.0,4,3.614783
104.0,5,3.620907
101.0,2,3.624826
104.0,5,3.633332
106.0,8,3.644662
101.0,1,3.646572
101.0,2,3.649793
101.0,1,3.65165
104.0,5,3.658998
101.0,1,3.660262
101.0,1,3.661566
101.0,1,3.663056
103.0,3,3.668473
101.0,1,3.670555
101.0,3,3.675253
105.0,6,3.684121
102.0,2,3.687559
106.0,7,3.70112
6.0,10,3.715281
101.0,1,3.716704
101.0,1,3.718091
103.0,6,3.727874
101.0,1,3.729561
101.0,1,3.731357
101.0,1,3.733496
